Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Power Limit,Energy Capacity,Owner,Locked,Equipped,Year,Season,Event,Mobility,Resilience,Recovery,Discipline,Intellect,Strength,Total,Custom,Mobility (Base),Resilience (Base),Recovery (Base),Discipline (Base),Intellect (Base),Strength (Base),Total (Base),Custom (Base),Seasonal Mod,Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12
Vernal Growth Robes,2967148056,"""6917529092645802700""",archive,Legendary,Chest Armor,eververse,Warlock,1600,1060,,Vault,true,false,2,6,The Revelry,0,10,30,5,5,10,60,35,0,10,20,5,5,10,50,35,,,revelry,Restorative Warlock Armor*,Mobility Enhancement Mod,Restorative Mod*,Mobility Mod*,Masterwork*,Imperial Opulence*,Unflinching Power Aim*,Unflinching Sniper Aim,Auto Rifle Reserves,Special Ammo Finder*,,,
Lunafaction Boots,4136768282,"""6917529204270002605""",,Exotic,Leg Armor,,Warlock,1600,,9,Vault,true,false,1,1,,15,3,14,23,7,2,64,40,15,3,14,23,7,2,64,40,, - Last Wish - ,"#neutral #solar, #raid #pve, bota with emp rift might be a better option post bubble nerf",Atmospheric Glow*,Upgrade Armor*,*,*,,*,*,,Alchemical Etchings*,,,,
Crown of Tempests,3381022969,"""6917529173687287923""",archive,Exotic,Helmet,,Warlock,1600,,9,Vault,true,false,1,1,,3,7,23,15,13,2,63,45,3,7,23,15,13,2,63,45,,,"#arc, #casual #pve, test vintage timber w/ no orn",Skele-Ghaul*,Upgrade Armor*,*,*,*,*,Diadem of Deceit*,Conduction Tines*,,,,,
Pathfinder's Chestplate,2606405484,"""6917529616768793679""",,Legendary,Chest Armor,lost,Titan,1600,,10,Vault,true,false,4,15,,4,4,32,15,9,8,72,45,2,2,30,13,7,6,60,45,,,"#pvp, high recovery",Atmospheric Glow*,Upgrade Armor*,*,*,*,*,Kabr's Wrath*,,,,,,
Eidolon Pursuant Plate,2288543943,"""6917529804395099765""",,Legendary,Chest Armor,haunted,Titan,1600,,10,Vault,true,false,5,17,,4,28,4,28,4,4,72,54,2,26,2,26,2,2,60,54,,,high resilience + high discipline,Upgrade Armor*,*,*,*,*,Visage of the Reaper*,,,,,,,
Citan's Ramparts,1190497097,"""6917529204259176075""",,Exotic,Gauntlets,,Titan,1600,,9,Vault,true,false,3,10,,6,12,13,2,18,11,62,27,6,12,13,2,18,11,62,27,,,"#neutral, #pvp, high recovery + high intellect",Amethyst Veil*,Upgrade Armor*,*,*,,*,,*,,Assault Barricade*,,,
Veritas Robe,4115572467,"""6917529791163157593""",,Legendary,Chest Armor,throneworld,Warlock,1600,,10,Vault,true,false,5,16,,4,16,16,17,16,4,73,43,2,14,14,15,14,2,61,43,,"PvP Stag - , Verity's Brow - ",high total,Metro Shift*,Upgrade Armor*,*,*,*,*,Lightkin Robes*,,,,,,
Lightkin Cover,1245678091,"""6917529405523100261""",archive,Legendary,Helmet,servitor,Warlock,1600,,10,Vault,true,false,4,14,,4,4,27,4,30,4,73,29,2,2,25,2,28,2,61,29,,PvP Transversives,"#pvp, high recovery + high intellect",Vintage Timber*,Upgrade Armor*,*,*,*,*,Dawn Singer Hood*,,,,,,
Resonant Fury Bond,2422261368,"""6917529726431478690""",,Legendary,Warlock Bond,votd,Warlock,1600,,10,Vault,true,false,5,16,,2,2,2,2,2,2,12,0,0,0,0,0,0,0,0,0,vowofthedisciple,Stag PvE - ,#raid #pve,Royal Dye*,Upgrade Armor*,Valkyrian Bond*,,,,,,,,,,
Eidolon Pursuant Greaves,1795075811,"""6917529842935160233""",,Legendary,Leg Armor,haunted,Titan,1600,,3,Vault,false,false,5,17,,6,2,23,19,8,6,64,44,6,2,23,19,8,6,64,44,,,"high recovery + high discipline. #pvp, replace id:6917529202874956490",Upgrade Armor*,*,*,*,*,Visage of the Reaper*,,,,,,,
Tusked Allegiance Greaves,2270509928,"""6917529855020366505""",,Legendary,Leg Armor,psiops,Titan,1600,,10,Vault,true,false,5,16,,4,28,4,22,14,4,76,48,2,26,2,20,12,2,64,48,,,high resilience + high discipline,Upgrade Armor*,*,*,*,*,,,,,,,,
Tusked Allegiance Vest,4144240158,"""6917529855306241217""",,Legendary,Chest Armor,psiops,Hunter,1600,,9,Vault,false,false,5,16,,2,26,2,6,2,24,62,36,2,26,2,6,2,24,62,36,,,high resilience + high strength,Upgrade Armor*,*,*,*,*,,,,,,,,
Moonfang-X7 Gloves,1361912510,"""6917529279213723780""",,Legendary,Gauntlets,dungeon,Warlock,1600,,10,Vault,true,false,3,11,,4,11,24,12,20,4,75,41,2,9,22,10,18,2,63,41,,PvP Stag - ,high recovery + high intellect,Coastal Suede*,Upgrade Armor*,*,*,*,*,Valkyrian Gloves*,,,,,,
Athrys's Embrace,2415768376,"""6917529855391878478""",,Exotic,Gauntlets,lostsectors,Hunter,1600,,10,Vault,true,false,4,12,,10,23,4,10,4,23,74,39,8,21,2,8,2,21,62,39,,Athrys's Embrace - ,"#pve, high resilience + high strength, #unstoppable",Seraphim Cloak*,Upgrade Armor*,*,*,*,*,Skittering Stinger*,,,,,,
Tusked Allegiance Boots,693728753,"""6917529762605308404""",,Legendary,Leg Armor,psiops,Warlock,1600,,10,Vault,true,false,5,16,,8,26,4,24,11,4,77,48,6,24,2,22,9,2,65,48,,,high reslience + high discipline,Upgrade Armor*,*,*,*,*,,,,,,,,
Lightkin Gauntlets,3399325807,"""6917529353289756034""",junk,Legendary,Gauntlets,servitor,Titan,1600,,10,Vault,false,false,4,14,,11,4,19,10,24,4,72,27,9,2,17,8,22,2,60,27,,,high recovery + high intellect,Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Iron Fellowship Gauntlets*,,,,,,
Ursa Furiosa,1848640623,"""6917529263503390166""",archive,Exotic,Gauntlets,,Titan,1600,,10,Vault,true,false,2,4,,10,6,23,10,13,12,74,33,8,4,21,8,11,10,62,33,,Ursas - ,"#void, #endgame #pve, high recovery",Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Ursus Maritimus*,Ursine Guard*,,,,,
Atavistic Idol Greaves,1026828708,"""6917529806279382770""",,Legendary,Leg Armor,trials,Titan,1600,,9,Vault,true,false,5,17,,2,19,9,16,8,7,61,44,2,19,9,16,8,7,61,44,,,high total,Carminica*,Upgrade Armor*,*,*,*,*,,,,,,,
Wild Hunt Mask,4079117607,"""6917529260512149638""",archive,Legendary,Helmet,seasonpass,Hunter,1600,,10,Vault,true,false,4,12,,9,8,22,8,22,9,78,39,7,6,20,6,20,7,66,39,,,high recovery + high intellect,Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Pyrrhic Ascent Mask*,,,,,,
Cloak of Temptation,3549177695,"""6917529160878380018""",junk,Legendary,Hunter Cloak,garden,Hunter,1600,,10,Vault,false,false,3,11,,2,2,2,2,2,2,12,0,0,0,0,0,0,0,0,0,gardenofsalvation,,"#raid, #pve",Skele-Ghaul*,Upgrade Armor*,,,,,,,,,,,
Nezarec's Sin,3381022971,"""6917529194142797894""",,Exotic,Helmet,,Warlock,1600,,10,Vault,true,false,1,1,,14,9,17,15,18,4,77,35,12,7,15,13,16,2,65,35,, - Nezarec's Sin - ,"#void, #casual #pve, if using void guns, it seems like verity's would be more effective since the timer nerf",Melchizedek Bramble*,Upgrade Armor*,*,*,*,*,Afraid of the Dark*,Abyssal Extractors*,,,,,
Pyrrhic Ascent Strides,120441703,"""6917529467721321919""",,Legendary,Leg Armor,trials,Hunter,1600,,10,Vault,true,false,4,14,,16,4,18,11,15,11,75,41,14,2,16,9,13,9,63,41,,,high total,Carminica*,Upgrade Armor*,*,*,*,*,Dendrite Shimmer Strides*,,,,,,
Terra Concord Greaves,1063507982,"""6917529202874956490""",junk,Legendary,Leg Armor,legendaryengram,Titan,1600,,10,Vault,false,false,3,11,,12,4,23,13,18,4,74,34,10,2,21,11,16,2,62,34,,,"high recovery, make arc and replace id:6917529292583535551 AND replaced by id:6917529674978966501",Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Kairos Function Greaves*,,,,,,
Philomath Boots,3084633087,"""6917529466963143190""",,Legendary,Leg Armor,legendaryengram,Warlock,1600,,10,Vault,false,false,4,12,,8,4,25,22,14,4,77,45,6,2,23,20,12,2,65,45,," - Contraverse Holds - ,  - Dawn Chorus - ,  - Necrotic Grips - ","#pve, high total",Skele-Ghaul*,Upgrade Armor*,*,*,*,*,Virtuous Boots*,,,,,,
TM-Earp Custom Chaps,2839517205,"""6917529856247515709""",,Legendary,Leg Armor,dungeon,Hunter,1600,,1,Vault,false,false,5,19,,6,21,2,15,8,8,60,44,6,21,2,15,8,8,60,44,,,high resilience,Upgrade Armor*,*,*,*,*,,,,,,,,
Gensym Knight Boots,2010051528,"""6917529822028629128""",archive,Legendary,Leg Armor,,Warlock,1600,,2,Vault,true,false,4,15,,2,2,30,6,26,2,68,38,2,2,30,6,26,2,68,38,,,high recovery + high intellect,Upgrade Armor*,*,*,*,*,,,,,,,,
Resonant Fury Plate,1627640710,"""6917529724905245048""",,Legendary,Chest Armor,votd,Titan,1600,,10,Vault,true,false,5,16,,4,8,26,19,4,15,76,47,2,6,24,17,2,13,64,47,vowofthedisciple,Aeons,"#raid, high recovery",Crimson Valor*,Upgrade Armor*,*,*,*,*,,,,,,,
Wild Hunt Gauntlets,2545401128,"""6917529211611674985""",,Legendary,Gauntlets,seasonpass,Titan,1600,,10,Vault,true,false,4,12,,8,10,21,14,16,9,78,39,6,8,19,12,14,7,66,39,," - Burning Steps PvE - ,  - Helm of Saint XIV - ",#pve,Crucible Carmine*,Upgrade Armor*,*,*,*,*,Ringwalker Gauntlets*,,,,,,
Eidolon Pursuant Helm,527342912,"""6917529798520561021""",archive,Legendary,Helmet,haunted,Titan,1600,,9,Vault,true,false,5,17,,2,26,2,2,26,2,60,30,2,26,2,2,26,2,60,30,,,high resilience + high intellect,Upgrade Armor*,*,*,*,*,Visage of the Reaper*,,,,,,,
Swordflight 4.1,2094233929,"""6917529542199141847""",,Legendary,Helmet,crucible,Hunter,1600,,10,Vault,true,false,3,10,,15,4,18,16,16,4,73,45,13,2,16,14,14,2,61,45,,,high total,Polycarbon Powder*,Upgrade Armor*,*,*,*,*,Fire-Forged Hunter Head Ornament*,,,,,,
Ketchkiller's Robes,3833868247,"""6917529864933650096""",,Legendary,Chest Armor,plunder,Warlock,1600,,3,Vault,true,false,5,18,,6,22,6,20,12,2,68,48,6,22,6,20,12,2,68,48,,,#mw,Upgrade Armor*,*,*,*,*,,,,,,,,
Tusked Allegiance Helmet,2240729575,"""6917529795817649657""",,Legendary,Helmet,psiops,Titan,1600,,10,Vault,true,false,5,16,,4,26,9,18,11,9,77,47,2,24,7,16,9,7,65,47,,,high resilience,Upgrade Armor*,*,*,*,*,,,,,,,,
Insight Vikti Gloves,4239920089,"""6917529871147297011""",infuse,Legendary,Gauntlets,legendaryengram,Warlock,1787,,2,Vault,false,false,3,11,,6,11,7,13,13,2,52,31,6,11,7,13,13,2,52,31,,,,Upgrade Armor*,*,*,*,*,,,,,,,,
Eye of Another World,3381022970,"""6917529311798244006""",,Exotic,Helmet,,Warlock,1600,,10,Vault,true,false,1,1,,8,4,25,14,19,4,74,37,6,2,23,12,17,2,62,37,,"PvP Eye of Another World - ,  - PvP EoAW,  - Eye of Another World","#neutral, #pvp, #endgame #pve, interacts well with #stasis and surpasses ability cooldown caps",Verdant Crown*,Upgrade Armor*,*,*,*,*,Gaze beyond Worlds*,Cerebral Uplink*,,,,,
Twisting Echo Strides,337875583,"""6917529552484408326""",,Legendary,Leg Armor,30th,Hunter,1600,,10,Vault,true,false,4,15,,14,4,20,4,18,16,76,34,12,2,18,2,16,14,64,34,,,high recovery + high intellect,Crucible Redjack*,Upgrade Armor*,*,*,*,*,Eater of Worlds Ornament*,,,,,,
Twisting Echo Mask,2744480004,"""6917529552547939437""",,Legendary,Helmet,30th,Hunter,1600,,9,Vault,false,false,4,15,,7,2,23,11,2,17,62,43,7,2,23,11,2,17,62,43,,,"high recovery, keep for mod slot",Upgrade Armor*,*,*,*,*,Artifice Armor*,,,,,,,
Eidolon Pursuant Gauntlets,2388383505,"""6917529804395092491""",,Legendary,Gauntlets,haunted,Titan,1600,,10,Vault,true,false,5,17,,4,25,8,24,4,11,76,51,2,23,6,22,2,9,64,51,,,high resilience + high discipline,Metro Shift*,Upgrade Armor*,*,*,*,*,Visage of the Reaper*,,,,,,
Sealed Ahamkara Grasps,1688602431,"""6917529858861943709""",,Exotic,Gauntlets,,Hunter,1600,,1,Vault,false,false,1,3,,3,21,9,18,2,11,64,51,3,21,9,18,2,11,64,51,,,,Upgrade Armor*,*,*,*,*,Nightmare Fuel*,,,,,,,
Gemini Jester,1163283805,"""6917529233782493423""",,Exotic,Leg Armor,,Hunter,1600,,1,Vault,false,false,1,2,,22,2,9,7,14,8,62,40,22,2,9,7,14,8,62,40,,,"#neutral, #pvp, high mobility",Upgrade Armor*,*,*,*,*,Misdirection*,,,,,,,
Lightkin Gloves,3862902650,"""6917529393487351081""",archive,Legendary,Gauntlets,servitor,Warlock,1600,,10,Vault,true,false,4,14,,4,9,24,4,26,8,75,31,2,7,22,2,24,6,63,31,,PvP Transversives,"#pvp, high recovery + high intellect",Byzantium Lotus*,Upgrade Armor*,*,*,*,*,,,,,,,
Eimin-Tin Ritual Mask,3634942770,"""6917529871138337817""",infuse,Legendary,Helmet,tangled,Warlock,1784,,2,Vault,false,false,4,12,,8,11,7,8,12,7,53,26,8,11,7,8,12,7,53,26,,,,Upgrade Armor*,*,*,*,*,,,,,,,,
Crown of Tempests,3381022969,"""6917529798096065516""",,Exotic,Helmet,,Warlock,1600,,10,Vault,true,false,1,1,,5,32,5,18,4,18,82,49,3,30,3,16,2,16,70,49,, - Crown of Tempest - ,"#arc, #casual #pve, high resilience",Crucible Redjack*,Upgrade Armor*,*,*,*,*,Diadem of Deceit*,Conduction Tines*,,,,,
Descending Echo Gauntlets,2771648715,"""6917529753120373034""",,Legendary,Gauntlets,30th,Titan,1600,,1,Vault,true,false,4,15,,2,6,25,2,10,21,66,33,2,6,25,2,10,21,66,33,,,"high recovery, keep until better artifice armor",Upgrade Armor*,*,*,*,*,Artifice Armor*,,,,,,,
One-Eyed Mask,2578771006,"""6917529407503744979""",,Exotic,Helmet,,Titan,1600,,9,Vault,true,false,2,4,,6,7,21,14,2,15,65,42,6,7,21,14,2,15,65,42,, - PvP One Eyed Mask,"#neutral, #pvp",Carminica*,Upgrade Armor*,*,*,*,*,Vengeance*,,,,,,
War Numen's Fist,2937773672,"""6917529813175225767""",,Legendary,Gauntlets,kf,Titan,1600,,10,Vault,true,false,5,18,,4,16,19,15,11,11,76,44,2,14,17,13,9,9,64,44,kingsfall,,high total,Basalt Toxic*,Upgrade Armor*,*,*,*,*,Knightly Noire Gauntlets*,,,,,,
Iron Forerunner Gauntlets,3570243433,"""6917529712599557911""",,Legendary,Gauntlets,ironbanner,Titan,1600,,10,Vault,true,false,4,15,,4,12,23,17,11,9,76,46,2,10,21,15,9,7,64,46,," - Phoenix Cradle - ,  - Heart of Inmost Light Solar - ","#pve, high recovery",Upgrade Armor*,*,*,*,*,Iron Lord's Pride*,,,,,,,
Vesper of Radius,1725917554,"""6917529198298454490""",,Exotic,Chest Armor,,Warlock,1600,,9,Vault,true,false,1,2,,9,9,16,11,18,2,65,36,9,9,16,11,18,2,65,36,,,"#neutral, #casual #pve, #pvp, interacts well with #stasis rift",Metro Shift*,Upgrade Armor*,*,*,,*,,*,Transcendent Geometry*,Planetary Torrent*,,,
Legacy's Oath Bond,2902277629,"""6917529210275085503""",,Legendary,Warlock Bond,deepstonecrypt,Warlock,1600,,10,Vault,true,false,4,12,,2,2,2,2,2,2,12,0,0,0,0,0,0,0,0,0,deepstonecrypt,,#raid,Upgrade Armor*,Phenotype Plasticity Bond*,,,,,,,,,,,
Fallen Sunstar,1849149215,"""6917529856211513968""",,Exotic,Helmet,lostsectors,Warlock,1600,,4,Vault,false,false,5,18,,2,16,13,11,6,14,62,40,2,16,13,11,6,14,62,40,,,#arc #pve,Spectral Indigo*,Upgrade Armor*,*,*,*,*,Ionic Conductor*,,,,,,
Mask of Bakris,1619425569,"""6917529214504481365""",,Exotic,Helmet,lostsectors,Hunter,1600,,10,Vault,true,false,4,12,,16,17,4,15,14,8,74,44,14,15,2,13,12,6,62,44,,PvP Bakris - ,"#stasis, #pvp",Skele-Ghaul*,Upgrade Armor*,*,*,*,*,Beastly Visage*,Light Shift*,,,,,
Heart of Inmost Light,1341951177,"""6917529211592739691""",junk,Exotic,Chest Armor,,Titan,1600,,10,Vault,false,false,2,4,,6,18,17,4,18,17,80,33,4,16,15,2,16,15,68,33,,,"#neutral, #casual #pve, #pvp",Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Overflowing Light*,,,,,,
Pyrrhic Ascent Cloak,1322042322,"""6917529441170945380""",junk,Legendary,Hunter Cloak,trials,Hunter,1600,,10,Vault,false,false,4,14,,2,2,2,2,2,2,12,0,0,0,0,0,0,0,0,0,,"PvP Bakris - , Stompees",#pvp,Carminica*,Upgrade Armor*,,,,,,,,,,,
Deep Explorer Gloves,3260781446,"""6917529823509699333""",archive,Legendary,Gauntlets,duality,Warlock,1600,,1,Vault,true,false,5,17,,6,2,24,2,23,7,64,28,6,2,24,2,23,7,64,28,artifice,,high recovery + high intellect,Upgrade Armor*,*,*,*,*,Artifice Armor*,,,,,,,
Resonant Fury Robes,3300312357,"""6917529698316018340""",,Legendary,Chest Armor,votd,Warlock,1600,,10,Vault,true,false,5,16,,4,14,20,23,11,4,76,51,2,12,18,21,9,2,64,51,vowofthedisciple, - Raid VotD - ,"#raid #pve, high recovery + high discipline",Carminica*,Upgrade Armor*,*,*,*,*,Pyrrhic Ascent Vestment*,,,,,,
Refugee Cloak,4195519897,"""6917529052826884861""",archive,Common,Hunter Cloak,campaign,Hunter,1600,,,Vault,true,false,1,1,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,
Eidolon Pursuant Pants,256122438,"""6917529791126586221""",,Legendary,Leg Armor,haunted,Warlock,1600,,10,Vault,true,false,5,17,,8,4,28,23,4,11,78,49,6,2,26,21,2,9,66,49,,PvP Stag - ,"#pvp, high recovery + high discipline",Imperial Opulence*,Upgrade Armor*,*,*,*,*,Eater of Worlds Ornament*,Visage of the Reaper*,,,,,
Holdfast Mask,3097544525,"""6917529194926091870""",,Legendary,Helmet,seasonpass,Hunter,1600,,10,Vault,true,false,3,11,,13,4,19,15,14,9,74,43,11,2,17,13,12,7,62,43,,Stompees,"#pve, high total",Tangled Bronze*,Upgrade Armor*,*,*,*,*,Dendrite Shimmer Mask*,,,,,,
Gloves of the Hezen Lords,3253292022,"""6917529428540744472""",junk,Legendary,Gauntlets,vaultofglass,Warlock,1600,,10,Vault,false,false,4,14,,15,4,17,4,30,4,74,19,13,2,15,2,28,2,62,19,vaultofglass,,high recovery + high intellect,Deprecated Armor Mod*,Goldleaf*,Upgrade Armor*,*,*,*,*,,,,,,
Sealed Ahamkara Grasps,1688602431,"""6917529203518900878""",,Exotic,Gauntlets,,Hunter,1600,,2,Vault,true,false,1,3,,21,3,12,17,12,2,67,53,21,3,12,17,12,2,67,53,,,"#neutral, #pve",Goldleaf*,Upgrade Armor*,*,*,*,*,Nightmare Fuel*,,,,,,
Legacy's Oath Mark,2956588906,"""6917529213427209006""",,Legendary,Titan Mark,deepstonecrypt,Titan,1600,,10,Vault,true,false,4,12,,2,2,2,2,2,2,12,0,0,0,0,0,0,0,0,0,deepstonecrypt, - PvP One Eyed Mask,"#raid #pve, make arc",Carbon Blood*,Upgrade Armor*,Lustrous Chromite Mark*,,,,,,,,,,
Moonfang-X7 Helm,2234240008,"""6917529214184589822""",,Legendary,Helmet,dungeon,Titan,1600,,10,Vault,true,false,3,11,,4,4,29,22,14,4,77,49,2,2,27,20,12,2,65,49,,,"#pvp, high total, transmog with prestige leviathan helmet",Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Omega Mechanos Helm*,,,,,,
Assassin's Cowl,2203146422,"""6917529406408311371""",,Exotic,Helmet,campaign,Hunter,1600,,10,Vault,true,false,3,8,,12,4,22,16,18,4,76,46,10,2,20,14,16,2,64,46,,,"#neutral, #casual #pve, probably good for solo #endgame content",Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Vanishing Execution*,,,,,,
Mask of Bakris,1619425569,"""6917529855633854321""",,Exotic,Helmet,lostsectors,Hunter,1600,,10,Vault,false,false,4,12,,14,4,17,8,16,14,73,35,12,2,15,6,14,12,61,35,,,#pvp,Upgrade Armor*,*,*,*,*,Light Shift*,,,,,,,
Resonant Fury Boots,2748020989,"""6917529669845832046""",,Legendary,Leg Armor,votd,Warlock,1600,,10,Vault,true,false,5,16,,4,8,24,16,16,4,72,42,2,6,22,14,14,2,60,42,vowofthedisciple, - Raid VotD - ,"#raid, high total",Crucible Carmine*,Upgrade Armor*,*,*,*,*,,,,,,,
Simulator Robes,248302381,"""6917529546367662451""",,Legendary,Chest Armor,fwc,Warlock,1600,,5,Vault,false,false,3,10,,2,7,24,16,8,9,66,47,2,7,24,16,8,9,66,47,,,high recovery,Upgrade Armor*,*,*,*,*,,,,,,,,
Warmind's Avatar Gloves,1259550198,"""6917529857929574154""",,Legendary,Gauntlets,rasputin,Warlock,1600,,1,Vault,true,false,5,19,,9,21,2,20,2,9,63,43,9,21,2,20,2,9,63,43,,,high resilience + high discipline,Upgrade Armor*,*,*,*,*,Seraph Sensor Array*,,,,,,,
Eidolon Pursuant Helm,527342912,"""6917529811414990987""",,Legendary,Helmet,haunted,Titan,1600,,10,Vault,true,false,5,17,,4,8,25,25,4,10,76,52,2,6,23,23,2,8,64,52,,,high recovery + high discipline,Upgrade Armor*,*,*,*,*,Visage of the Reaper*,,,,,,,
Claws of Ahamkara,3288917178,"""6917529423720264397""",,Exotic,Gauntlets,,Warlock,1600,,3,Vault,false,false,1,3,,2,6,25,9,8,13,63,40,2,6,25,9,8,13,63,40,,,"#neutral #stasis, #pve",Upgrade Armor*,*,*,*,*,The Whispers*,,,,,,,
Eidolon Pursuant Plate,2288543943,"""6917529811439351544""",,Legendary,Chest Armor,haunted,Titan,1600,,10,Vault,true,false,5,17,,9,4,25,23,4,12,77,46,7,2,23,21,2,10,65,46,,,"high recovery + high discipline, replace id:6917529200982161158",Upgrade Armor*,*,*,*,*,Visage of the Reaper*,,,,,,,
Wild Hunt Vestment,317220729,"""6917529412052602651""",archive,Legendary,Chest Armor,seasonpass,Warlock,1600,,9,Vault,true,false,4,12,,2,2,28,2,25,2,61,32,2,2,28,2,25,2,61,32,,,"#pvp, high recovery + high intellect",Crucible Redjack*,Upgrade Armor*,*,*,*,*,,Pyrrhic Ascent Vestment*,,,,,
Wormhusk Crown,3562696927,"""6917529856054294449""",,Exotic,Helmet,,Hunter,1600,,3,Vault,true,false,1,3,,13,2,18,16,13,2,64,49,13,2,18,16,13,2,64,49,,,"#pvp, #mw",Upgrade Armor*,*,*,*,*,Burning Souls*,,,,,,,
Getaway Artist,3084282676,"""6917529393561321183""",,Exotic,Gauntlets,,Warlock,1600,,1,Vault,true,false,2,6,,2,8,24,16,13,2,65,48,2,8,24,16,13,2,65,48,,,"#arc, #pvp #pve, high total",Upgrade Armor*,*,*,*,*,Dynamic Duo*,,,,,,,
Deep Explorer Boots,3798520466,"""6917529834110735146""",,Legendary,Leg Armor,duality,Warlock,1600,,10,Vault,false,false,5,17,,4,22,12,24,9,4,75,52,2,20,10,22,7,2,63,52,,,high total,Upgrade Armor*,*,*,*,*,,,,,,,,
Shards of Galanor,691578979,"""6917529612720483769""",,Exotic,Gauntlets,,Hunter,1600,,10,Vault,true,false,2,4,,15,5,22,4,21,11,78,38,13,3,20,2,19,9,66,38,,Shards of Galanor - ,"#solar, #casual #pve, high total",Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Deathwish*,Sharp Edges*,,,,,
Foetracer,896224899,"""6917529867469710803""",,Exotic,Helmet,,Hunter,1600,,1,Vault,false,false,1,1,,4,13,16,12,6,16,67,45,4,13,16,12,6,16,67,45,,,,Upgrade Armor*,*,*,*,*,Relentless Tracker*,,,,,,,
Young Ahamkara's Spine,475652357,"""6917529867485145978""",junk,Exotic,Gauntlets,,Hunter,1600,,2,Vault,false,false,1,1,,2,17,13,13,12,8,65,45,2,17,13,13,12,8,65,45,,,,Upgrade Armor*,*,*,*,*,Wish-Dragon Teeth*,,,,,,,
Lucky Pants,193869522,"""6917529867477898010""",,Exotic,Leg Armor,,Hunter,1600,,3,Vault,false,false,1,1,,3,29,2,10,2,19,65,44,3,29,2,10,2,19,65,44,,,"high recovery, #pvp",Upgrade Armor*,*,*,*,*,Illegally Modded Holster*,,,,,,,
Channeling Treads (CODA),2022923313,"""6917529194842726429""",favorite,Legendary,Leg Armor,dungeon,Warlock,1600,,10,Vault,true,false,3,11,,4,10,22,8,28,4,76,34,2,8,20,6,26,2,64,34,,"PvP Eye of Another World - , PvP Astrocyte - , PvP Ophidian Aspects - ,  - PvP EoAW","#pvp, high recovery + high intellect",Crucible Redjack*,Upgrade Armor*,*,*,*,*,Iron Forerunner Boots*,,,,,,
Eidolon Pursuant Mask,1285042454,"""6917529781856704343""",,Legendary,Helmet,haunted,Hunter,1600,,10,Vault,true,false,5,17,,4,12,22,23,4,12,77,53,2,10,20,21,2,10,65,53,,Renewal Grasps - ,high recovery + high discipline,Arc Siphon*,Kinetic Siphon*,Sinking Feeling*,Upgrade Armor*,*,*,*,*,Visage of the Reaper*,,,,
Red Moon Phantom Mask,1395001913,"""6917529395239501336""",junk,Legendary,Helmet,legendaryengram,Hunter,1600,,10,Vault,false,false,4,13,,9,4,25,4,18,14,74,34,7,2,23,2,16,12,62,34,, - Orpheus Rigs - ,"#pve, high recovery + high intellect",Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Woven Firesmith Mask*,,,,,,
Resonant Fury Gauntlets,2150515362,"""6917529715211531982""",,Legendary,Gauntlets,votd,Titan,1600,,9,Vault,true,false,5,16,,6,8,18,21,2,10,65,47,6,8,18,21,2,10,65,47,vowofthedisciple,,high recovery + high discipline,Upgrade Armor*,*,*,*,*,,,,,,,,
Tethering Void,1418191157,"""6917529871817937120""",infuse,Legendary,Warlock Bond,,Warlock,1784,,1,Vault,false,false,4,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Upgrade Armor*,,,,,,,,,,,,
Kabr's Battlecage,4029224226,"""6917529430646320853""",archive,Legendary,Helmet,vaultofglass,Titan,1600,,10,Vault,true,false,4,14,,4,4,31,14,22,4,79,43,2,2,29,12,20,2,67,43,vaultofglass," - Burning Steps PvE - ,  - Strongholds - ,  - Heart of Inmost Light Solar - ","#pve, high recovery + high intellect",Horizon Blush*,Upgrade Armor*,*,*,*,*,Dragonfly Regalia Helm*,,,,,,
Eidolon Pursuant Helm,527342912,"""6917529804395095162""",,Legendary,Helmet,haunted,Titan,1600,,10,Vault,true,false,5,17,,12,23,4,31,4,4,78,52,10,21,2,29,2,2,66,52,,,high resilience + high discipline,Upgrade Armor*,*,*,*,*,Visage of the Reaper*,,,,,,,
Vest of the Ace-Defiant,2232730709,"""6917529111994273712""",,Legendary,Chest Armor,dcv,Hunter,1600,,10,Vault,true,false,3,11,,8,10,16,22,9,8,73,48,6,8,14,20,7,6,61,48,,,high discipline,Valkyrie Zero*,Upgrade Armor*,*,*,*,*,Nemean Cuirass*,,,,,,
