Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Power Limit,Energy Capacity,Owner,Locked,Equipped,Year,Season,Event,Mobility,Resilience,Recovery,Discipline,Intellect,Strength,Total,Mobility (Base),Resilience (Base),Recovery (Base),Discipline (Base),Intellect (Base),Strength (Base),Total (Base),Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10
Eidolon Pursuant Helm,527342912,"""6917529811414990987""",,Legendary,Helmet,haunted,Titan,1600,,10,Vault,true,false,5,17,,4,8,25,25,4,10,76,2,6,23,23,2,8,64,,high recovery + high discipline,Visage of the Reaper*,,,,,,,,,,
Bond of the Wormlore,766618550,"""6917529812147544199""",,Legendary,Warlock Bond,kf,Warlock,1810,,10,Vault,true,false,5,18,,2,2,2,2,2,12,22,0,0,0,0,0,0,0,,#pve #raid,Strength Mod*,Time Dilation*,Font of Restoration*,Run for Your Life*,Gilded Smoke*,,,,,,
War Numen's Fist,2937773672,"""6917529813175225767""",archive,Legendary,Gauntlets,kf,Titan,1600,,10,Vault,true,false,5,18,,4,16,19,15,11,11,76,2,14,17,13,9,9,64,,"#raid, high total",Basalt Toxic*,,,,,,,,,,
Resonant Fury Cloak,4124357755,"""6917529813656770248""",,Legendary,Hunter Cloak,votd,Hunter,1600,,5,Vault,false,false,5,16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,#raid,,,,,,,,,,,
Hallowfire Heart,1192890598,"""6917529818246190164""",archive,Exotic,Chest Armor,,Titan,1810,,1,Vault,true,false,1,1,,4,20,10,23,2,7,66,4,20,10,23,2,7,66,,"#solar, #casual #pve",Sunfire Furnace*,Erebos Glance*,Vulcan's Heart*,,,,,,,,
Gensym Knight Boots,2010051528,"""6917529822028629128""",,Legendary,Leg Armor,,Warlock,1810,,10,Warlock(1824),true,true,4,15,,4,4,32,18,28,4,90,2,2,30,6,26,2,68,"Xenomorph - , Starfire Protocol - , Solar, Raid",high recovery + high intellect,Discipline Mod*,Recuperation*,Solar Weapon Surge*,Solar Weapon Surge*,First Frost*,Solstice Boots (Majestic)*,,,,,
Deep Explorer Gloves,3260781446,"""6917529823509699333""",archive,Legendary,Gauntlets,duality,Warlock,1800,,1,Vault,true,false,5,17,,6,2,24,2,23,7,64,6,2,24,2,23,7,64,,high recovery + high intellect,Artifice Armor*,Empty Mod Socket*,,,,,,,,,
Deep Explorer Cloak,2797334754,"""6917529823531577970""",,Legendary,Hunter Cloak,duality,Hunter,1810,,10,Hunter(1824),true,false,5,17,,2,10,2,2,2,2,20,0,0,0,0,0,0,0," - PvP - Wormhusk - , Wormhusk - , Lucky Pants - ,  - Frostees - , Sixth Coyote - , Aeons - , Strand",#pve #strand,Artifice Armor*,Minor Resilience Mod*,Powerful Attraction*,Reaper*,Time Dilation*,Resilience-Forged*,Gambit Jadestone*,Aphotic Lamellar Cloak*,,,
Wild Hunt Grasps,2025716654,"""6917529826853576280""",junk,Legendary,Gauntlets,seasonpass,Hunter,1600,,10,Vault,false,false,4,12,,8,26,4,20,4,11,73,6,24,2,18,2,9,61,,high resilience + high discipline,,,,,,,,,,,
Chasm of Yul,3921733799,"""6917529826933100940""",,Legendary,Chest Armor,kf,Warlock,1810,,10,Vault,true,false,5,18,,4,8,28,24,8,14,86,2,6,26,22,6,2,64,"Osmiomancy - ,  - PvP Ophidian Aspects - ","#raid, #pvp, high recovery + high discipline",Strength Mod*,Void Resistance*,Void Resistance*,Concussive Dampener*,Envious Touch*,Phenotype Plasticity Robes*,,,,,
Deep Explorer Helmet,3270955774,"""6917529829303273782""",,Legendary,Helmet,duality,Titan,1810,,10,Titan(1823),true,true,5,17,,4,17,22,22,12,14,91,2,12,20,20,10,2,66,"Synthoceps - , Severance Enclosure - , No Backup Plans - , Falling Star - , Abeyant Leap - , HoIL Arc - , Point Contact Cannon Brace - , Void, Arc, Raid, Strand, Dungeon, Dungeon, Nightfall","#pve, high total",Artifice Armor*,Strength Mod*,Heavy Ammo Finder*,Harmonic Siphon*,Special Ammo Finder*,Resilience-Forged*,Carminica*,Snowplume Helm*,,,
Deep Explorer Grasps,1148597205,"""6917529829310891774""",,Legendary,Gauntlets,duality,Hunter,1810,,10,Hunter(1824),true,false,5,17,,15,28,4,25,4,9,85,8,23,2,23,2,7,65,"Wormhusk - , Gyrfalcon's Hauberk - , Lucky Pants - , Sixth Coyote - , Assassin's Cowl - ,  - Omnioculus - , Dungeon, Strand","#pve, high resilience + high discipline",Artifice Armor*,Minor Mobility Mod*,Focusing Strike*,Font of Focus*,Heavy Handed*,Resilience-Forged*,Gambit Jadestone*,Grips of Trepidation*,,,
Deep Explorer Helmet,2610749098,"""6917529834104104790""",,Legendary,Helmet,duality,Titan,1800,,10,Vault,true,false,5,17,,4,28,16,27,4,8,87,2,16,14,25,2,6,65,,"#pve, high total, replace id:6917529753120372306",Resilience Mod*,Special Ammo Finder*,Harmonic Siphon*,Kinetic Siphon*,Atmospheric Glow*,Solstice Helm (Majestic)*,,,,,
Deep Explorer Boots,3798520466,"""6917529834110735146""",,Legendary,Leg Armor,duality,Warlock,1800,,10,Vault,true,false,5,17,,4,22,17,24,9,4,80,2,20,10,22,7,2,63,,high total,Minor Recovery Mod*,Erebos Glance*,Boots of the Emperor's Minister*,,,,,,,,
Deep Explorer Plate,2935559305,"""6917529839987828041""",favorite,Legendary,Chest Armor,duality,Titan,1803,,10,Titan(1823),true,true,5,17,,4,26,12,31,4,9,86,2,21,10,29,2,2,66,"Wormgod Caress - , ACDC Fence - , Point Contact Cannon Brace - , Strand, Dungeon, Nightfall","#pve, high resilience + high discipline",Artifice Armor*,Minor Strength Mod*,Concussive Dampener*,Void Resistance*,Solar Resistance*,Resilience-Forged*,Crucible Peppermint*,Resonant Fury Plate*,,,
Deep Explorer Greaves,2649394513,"""6917529840015787989""",,Legendary,Leg Armor,duality,Titan,1810,,10,Titan(1823),true,true,5,17,,4,29,8,18,18,14,91,2,24,6,16,16,2,66,"Precious Scars - , Hoarfrost - , Severance Enclosure - , No Backup Plans - , Falling Star - , Loreley Splendor - , HoIL Arc - , Point Contact Cannon Brace - , Solar, Void, Arc, Stasis, Raid, Strand, Dungeon, Dungeon","#pve, high resilience",Artifice Armor*,Strength Mod*,Recuperation*,Absolution*,Absolution*,Resilience-Forged*,Crucible Carmine*,Aphotic Lamellar Greaves*,,,
Eidolon Pursuant Greaves,1795075811,"""6917529842935160233""",junk,Legendary,Leg Armor,haunted,Titan,1600,,10,Vault,false,false,5,17,,8,4,25,21,10,8,76,6,2,23,19,8,6,64,,high recovery + high discipline. replace id:6917529202874956490,Visage of the Reaper*,,,,,,,,,,
Legacy's Oath Vest,4001862073,"""6917529849650594563""",junk,Legendary,Chest Armor,deepstonecrypt,Hunter,1600,,10,Vault,false,false,4,12,,4,21,11,21,4,13,74,2,19,9,19,2,11,62,,"#pve, high resilience + high discipline",Skele-Ghaul*,,,,,,,,,,
Necrotic Grip,2780717641,"""6917529854207178989""",,Exotic,Gauntlets,lostsectors,Warlock,1810,,10,Warlock(1824),true,false,4,12,,4,12,23,32,8,9,88,2,10,21,20,6,7,66,"Necrotic Grips - , Strand","#strand #pve, high recovery + high discipline",Grasp of the Devourer*,Discipline Mod*,Heavy Handed*,Impact Induction*,Focusing Strike*,Basalt Toxic*,Replicate Exploit*,,,,
Ketchkiller's Vest,92499596,"""6917529854378569772""",,Legendary,Chest Armor,plunder,Hunter,1810,,10,Hunter(1824),true,false,5,18,,14,8,18,27,8,8,83,12,6,16,20,6,6,66,"Renewal Grasps - , Stasis","#pve, high total",Minor Discipline Mod*,Solar Resistance*,Concussive Dampener*,Melee Damage Resistance*,Metro Shift*,Vest of the Great Hunt*,,,,,
No Backup Plans,3267996858,"""6917529854983852603""",,Exotic,Gauntlets,lostsectors,Titan,1810,,10,Titan(1823),true,false,4,15,,19,15,4,4,31,9,82,17,13,2,2,24,7,65,"No Backup Plans - , Dungeon","#void #pve, #pvp",Force Multiplier*,Minor Intellect Mod*,Heavy Handed*,Firepower*,Focusing Strike*,Erebos Glance*,Piezoelectric Stratagem*,,,,
Tusked Allegiance Greaves,2270509928,"""6917529855020366505""",junk,Legendary,Leg Armor,psiops,Titan,1600,,10,Vault,false,false,5,16,,4,28,4,22,14,4,76,2,26,2,20,12,2,64,,high resilience + high discipline,,,,,,,,,,,
Tusked Allegiance Gauntlets,187431790,"""6917529855030479264""",,Legendary,Gauntlets,psiops,Titan,1810,,10,Titan(1823),true,false,5,16,,4,33,8,23,11,4,83,2,26,6,21,9,2,66,Nightfall,"#pve, high resilience + high discipline",Minor Resilience Mod*,Focusing Strike*,Impact Induction*,Heavy Handed*,Melchizedek Bramble*,Iron Forerunner Gauntlets*,,,,,
Tusked Allegiance Vest,4144240158,"""6917529855303243037""",,Legendary,Chest Armor,psiops,Hunter,1810,,10,Hunter(1824),true,false,5,16,,21,22,4,14,4,22,87,9,20,2,12,2,20,65,"Shards of Galanor - ,  - Frostees - , Solar","#pve, high resilience + high strength",Mobility Mod*,Solar Resistance*,Void Resistance*,Concussive Dampener*,Valkyrie Zero*,Empyrean Cartographer Vest*,,,,,
Tusked Allegiance Vest,4144240158,"""6917529855306241217""",junk,Legendary,Chest Armor,psiops,Hunter,1600,,10,Vault,false,false,5,16,,4,28,4,8,4,26,74,2,26,2,6,2,24,62,,high resilience + high strength,,,,,,,,,,,
Wild Hunt Vest,1458739906,"""6917529855387577812""",,Legendary,Chest Armor,seasonpass,Hunter,1600,,10,Vault,false,false,4,12,,14,4,19,24,4,11,76,12,2,17,22,2,9,64,,high total,,,,,,,,,,,
Athrys's Embrace,2415768376,"""6917529855391878478""",,Exotic,Gauntlets,lostsectors,Hunter,1810,,10,Vault,true,false,4,12,,10,23,4,10,4,23,74,8,21,2,8,2,21,62,,"#pve, high resilience + high strength, #unstoppable",Skittering Stinger*,Seraphim Cloak*,,,,,,,,,
Khepri's Sting,2757274117,"""6917529855588922814""",archive,Exotic,Gauntlets,,Hunter,1600,,1,Vault,true,false,2,7,,13,14,6,2,15,15,65,13,14,6,2,15,15,65,,#pvp,Touch of Venom*,,,,,,,,,,
Mask of Bakris,1619425569,"""6917529855633854321""",junk,Exotic,Helmet,lostsectors,Hunter,1600,,10,Vault,false,false,4,12,,14,4,17,8,16,14,73,12,2,15,6,14,12,61,,#pvp,Light Shift*,Skele-Ghaul*,Beastly Visage*,,,,,,,,
Crystocrene Hood,1547733991,"""6917529855857999583""",,Legendary,Helmet,europa,Warlock,1806,,10,Vault,true,false,4,12,,4,17,20,24,8,4,77,2,15,13,22,6,2,60,,"#pve, high resilience + high discipline",Minor Recovery Mod*,Kinetic Siphon*,Void Siphon*,Heavy Ammo Finder*,Seraphim Cloak*,Prodigal Hood*,,,,,
Assassin's Cowl,2203146422,"""6917529856034998039""",,Exotic,Helmet,campaign,Hunter,1800,,10,Hunter(1824),true,false,3,8,,25,20,4,16,11,10,86,13,18,2,14,9,8,64,"Assassin's Cowl - , Dungeon","#endgame #pve, #neutral",Vanishing Execution*,Mobility Mod*,Arc Siphon*,Harmonic Siphon*,Special Ammo Finder*,Queen's Colors*,,,,,
Wormhusk Crown,3562696927,"""6917529856054294449""",junk,Exotic,Helmet,,Hunter,1795,,10,Vault,false,false,1,3,,15,4,20,18,15,4,76,13,2,18,16,13,2,64,,#pvp,Burning Souls*,Valkyrie Zero*,The Gate Lord*,,,,,,,,
TM-Moss Custom Bond,2341879253,"""6917529856240770916""",,Legendary,Warlock Bond,dungeon,Warlock,1810,,10,Warlock(1824),true,false,5,19,,2,2,7,2,5,2,20,0,0,0,0,0,0,0,"Osmiomancy - ,  - Aeons - , Stasis, Dungeon",#pve #stasis,Artifice Armor*,Minor Recovery Mod*,Bulwark Finisher*,Powerful Attraction*,Reaper*,Intellect-Forged*,Photo Finish*,Unyielding Favor Bond*,,,
Grasp of Eir,3398467185,"""6917529856257317115""",,Legendary,Gauntlets,kf,Warlock,1810,,10,Vault,true,false,5,18,,4,27,13,17,10,11,82,2,25,6,15,8,9,65, - Dawn Chorus - ,"#pve, high resilience",Minor Recovery Mod*,Bolstering Detonation*,Amethyst Veil*,Painted Kitsune Gloves*,,,,,,,
Celestial Nighthawk,1321354573,"""6917529856352791557""",,Exotic,Helmet,,Hunter,1810,,10,Hunter(1824),true,false,1,1,,10,29,8,12,15,10,84,3,27,6,10,13,8,67,"Celestial Nighthawk - , Solar","#solar #endgame #pve, high resilience",Hawkeye Hack*,Minor Mobility Mod*,Harmonic Siphon*,Dynamo*,Heavy Ammo Finder*,Erebos Glance*,Hrafnagud*,,,,
Khepri's Horn,2384488862,"""6917529856633266708""",,Exotic,Helmet,,Titan,1600,,10,Vault,true,false,1,2,,8,19,10,20,8,11,76,6,17,8,18,6,9,64,,"#solar #casual  #pve, #pvp",Solar Rampart*,Carminica*,Technoscarab*,,,,,,,,
Warmind's Avatar Robes,2710316218,"""6917529857138292703""",,Legendary,Chest Armor,rasputin,Warlock,1810,,10,Warlock(1824),true,false,5,19,,4,26,14,23,11,4,82,2,24,7,21,9,2,65,Dungeon,"#pve, high resilience + high discipline",Seraph Sensor Array*,Minor Recovery Mod*,Solar Resistance*,Concussive Dampener*,Melee Damage Resistance*,Sinking Feeling*,Painted Kitsune Robes*,,,,
Antaeus Wards,2423243921,"""6917529857304128175""",archive,Exotic,Leg Armor,,Titan,1600,,2,Vault,true,false,2,4,,10,17,7,29,2,2,67,10,17,7,29,2,2,67,,high resilience + high discipline,Reflective Vents*,,,,,,,,,,
Legacy's Oath Vest,4001862073,"""6917529858116950709""",,Legendary,Chest Armor,deepstonecrypt,Hunter,1800,,10,Vault,true,false,4,12,,4,22,13,18,10,10,77,2,20,11,16,8,8,65,,high total,,,,,,,,,,,
Seventh Seraph Strides,1151338093,"""6917529858874069916""",,Legendary,Leg Armor,seasonpass,Hunter,1600,,10,Vault,true,false,3,10,,4,4,31,22,8,4,73,2,2,29,20,6,2,61,,high recovery + high discipline,Valkyrian Strides*,,,,,,,,,,
TM-Moss Custom Bond,2341879253,"""6917529862414223060""",,Legendary,Warlock Bond,dungeon,Warlock,1810,,10,Warlock(1824),true,false,5,19,,2,5,7,2,2,2,20,0,0,0,0,0,0,0,"Vesper of Radius - ,  - Fallen Sunstar - , Arc",#pve #arc,Artifice Armor*,Minor Recovery Mod*,Utility Kickstart*,Powerful Attraction*,Reaper*,Resilience-Forged*,Satou Tribe*,Liminal Voyager Bond*,,,
Tusked Allegiance Grips,4017738218,"""6917529865727344421""",,Legendary,Gauntlets,psiops,Hunter,1810,,10,Hunter(1824),true,false,5,16,,14,22,4,25,13,4,82,12,20,2,23,6,2,65,"Celestial Nighthawk - , Star Eater Scales - , Raid, Solar","#pve, high total",Minor Intellect Mod*,Focusing Strike*,Firepower*,Heavy Handed*,Carminica*,Solstice Grasps (Majestic)*,,,,,
Tusked Allegiance Vest,4144240158,"""6917529865734281537""",,Legendary,Chest Armor,psiops,Hunter,1807,,10,Hunter(1824),true,true,5,16,,14,32,4,23,11,4,88,2,30,2,21,9,2,66,"Graviton Forfeit - , Ahamkara's Spine - , Nightfall, Raid","#pve, high resilience + high discipline",Mobility Mod*,Arc Resistance*,Arc Resistance*,Concussive Dampener*,Luminous Void*,Empyrean Cartographer Vest*,,,,,
Tusked Allegiance Grips,4017738218,"""6917529866298025275""",,Legendary,Gauntlets,psiops,Hunter,1600,,10,Vault,true,false,5,16,,9,26,4,29,4,4,76,7,24,2,27,2,2,64,,"#pve, high recovery + high discipline",Bloody Tooth*,Virtuous Grips*,,,,,,,,,
Caliban's Hand,3453042252,"""6917529867463098410""",,Exotic,Gauntlets,lostsectors,Hunter,1800,,10,Vault,true,false,5,17,,12,23,4,26,8,4,77,10,21,2,24,6,2,65,,"high recovery + high discipline, #pve",Roast 'Em*,Queen's Colors*,,,,,,,,,
Lucky Pants,193869522,"""6917529867477898010""",,Exotic,Leg Armor,,Hunter,1810,,10,Hunter(1824),true,false,1,1,,15,31,4,12,4,21,87,3,29,2,10,2,19,65,Lucky Pants - ,"high recovery, #pvp",Illegally Modded Holster*,Mobility Mod*,Recuperation*,Arc Weapon Surge*,Kinetic Weapon Surge*,Erebos Glance*,Deep Pockets*,,,,
Tusked Allegiance Mask,2516879931,"""6917529867493338844""",,Legendary,Helmet,psiops,Hunter,1800,,10,Hunter(1824),true,false,5,16,,4,32,4,32,4,4,80,2,30,2,30,2,2,68,,"#pve, high resilience + high discipline",Kinetic Siphon*,Arc Siphon*,Heavy Ammo Finder*,Highlander*,Legatus Mask*,,,,,,
Vigil of Heroes,4086100104,"""6917529867796317124""",,Legendary,Leg Armor,strikes,Warlock,1810,,10,Warlock(1824),true,false,3,11,,4,32,4,27,9,12,88,2,30,2,15,7,10,66,"Phoenix Protocol - ,  - Felwinter's Helm - , Necrotic Grips - , Verity's Brow - , Sunbracers - ,  - Dawn Chorus - , Nightfall, Strand, Gambit","#pve, high resilience",Discipline Mod*,Recuperation*,Solar Weapon Surge*,Solar Weapon Surge*,Carminica*,Hexwrought Boots*,,,,,
Swarmers,2463947681,"""6917529869666137621""",,Exotic,Leg Armor,lostsectors,Warlock,1775,,10,Vault,true,false,6,20,,8,12,18,18,12,14,82,6,10,16,11,10,12,65,,"#strand, #casual #pve",Swarmers*,Minor Discipline Mod*,Kinetic Weapon Surge*,Recuperation*,Stacks on Stacks*,Gambit Jadestone*,,,,,
Hood of the Great Hunt,1350126011,"""6917529871147298472""",archive,Legendary,Helmet,lastwish,Warlock,1790,,10,Vault,true,false,4,12,,4,21,14,26,8,4,77,2,19,12,24,6,2,65,,"#raid, strictly worse than mouth of ur",,,,,,,,,,,
Synthoceps,241462142,"""6917529872105281804""",,Exotic,Gauntlets,,Titan,1807,,10,Titan(1823),true,true,1,1,,4,24,16,19,4,12,79,2,17,14,17,2,10,62,"Synthoceps - , Strand","#neutral #pve, #pvp",Biotic Enhancements*,Minor Resilience Mod*,Impact Induction*,Grenade Kickstart*,Heavy Handed*,Crucible Redjack*,~flex enhance replicate~*,,,,
Cloak of Trepidation,621315878,"""6917529876120169749""",,Legendary,Hunter Cloak,nightmare,Hunter,1802,,10,Hunter(1824),true,false,6,20,,2,12,2,2,2,2,22,0,0,0,0,0,0,0,,#raid,Resilience Mod*,Special Finisher*,Powerful Attraction*,Reaper*,Midnight Smith*,,,,,,
Bond of Detestation,2915322487,"""6917529876367359424""",,Legendary,Warlock Bond,nightmare,Warlock,1810,,10,Warlock(1824),true,false,6,20,,2,7,2,2,2,2,17,0,0,0,0,0,0,0,,#raid,Minor Resilience Mod*,Time Dilation*,Reaper*,Release Recover*,Photo Finish*,,,,,,
Deep Explorer Gloves,3260781446,"""6917529876728461542""",,Legendary,Gauntlets,duality,Warlock,1799,,10,Vault,false,false,5,17,,4,17,15,18,14,4,72,2,15,13,16,12,2,60,,high total,Artifice Armor*,Empty Mod Socket*,,,,,,,,,
Deep Explorer Mark,420895300,"""6917529876792556032""",,Legendary,Titan Mark,duality,Titan,1810,,10,Titan(1823),true,false,5,17,,2,15,2,2,2,2,25,0,0,0,0,0,0,0,"Precious Scars - , Abeyant Leap - , Loreley Splendor - , HoIL Arc - , Point Contact Cannon Brace - , Solar, Arc, Dungeon",#pve,Artifice Armor*,Resilience Mod*,Reaper*,Powerful Attraction*,Outreach*,Resilience-Forged*,Sinking Feeling*,Aphotic Lamellar Mark*,,,
Boots of Trepidation,807905267,"""6917529877597593926""",,Legendary,Leg Armor,nightmare,Hunter,1810,,10,Vault,true,false,6,20,,4,22,13,17,10,9,75,2,20,11,15,8,7,63,,"#raid, high total",Focused Darkness*,Valkyrie Zero*,,,,,,,,,
Geomag Stabilizers,121305948,"""6917529877664285741""",,Exotic,Leg Armor,,Warlock,1810,,10,Vault,false,false,2,4,,4,25,12,11,21,4,77,2,23,10,9,19,2,65,,high resilience + high intellect,Close Enough*,Sinking Feeling*,Alternate Conduction*,,,,,,,,
Abeyant Leap,3637722482,"""6917529879647283962""",,Exotic,Leg Armor,lostsectors,Titan,1800,,10,Titan(1823),true,false,6,20,,8,18,14,23,12,14,89,6,16,12,11,10,12,67,Abeyant Leap - ,"#endgame #pve, #strand",Puppeteer's Control*,Discipline Mod*,Recuperation*,Arc Weapon Surge*,Strand Weapon Surge*,Erebos Glance*,,,,,
Mask of Detestation,4123705451,"""6917529883032670148""",archive,Legendary,Helmet,nightmare,Warlock,1809,,10,Vault,true,false,6,20,,4,30,4,9,22,4,73,2,28,2,7,20,2,61,Phoenix Protocol - ,"#raid, high resilience + high intellect",Darkwater Froth*,,,,,,,,,,
Grips of Trepidation,3608027009,"""6917529883086986492""",archive,Legendary,Gauntlets,nightmare,Hunter,1810,,10,Vault,true,false,6,20,,9,31,4,28,4,4,80,7,24,2,26,2,2,63,,"#raid, high resilience + high discipline",Minor Resilience Mod*,Focusing Strike*,Font of Focus*,Heavy Handed*,Gambit Jadestone*,,,,,,
Techeun's Regalia Hood,3056490591,"""6917529883728571209""",junk,Legendary,Helmet,seasonpass,Warlock,1800,,10,Vault,false,false,6,20,,4,25,9,26,4,9,77,2,23,7,24,2,7,65,,high resilience + high discipline,Queen's Favor*,,,,,,,,,,
Robes of Detestation,2597227950,"""6917529885118404872""",,Legendary,Chest Armor,nightmare,Warlock,1810,,10,Vault,true,false,6,20,,4,10,23,26,4,9,76,2,8,21,24,2,7,64,,"#raid, high recovery + high discipline",,,,,,,,,,,
Boots of Trepidation,807905267,"""6917529885537669113""",,Legendary,Leg Armor,nightmare,Hunter,1808,,10,Hunter(1824),true,false,6,20,,8,14,15,23,4,11,75,6,12,13,21,2,9,63,,high total,Solar Scavenger*,Solar Scavenger*,Solar Scavenger*,Valkyrie Zero*,,,,,,,
Boots of Detestation,3702434452,"""6917529888931960678""",infuse,Legendary,Leg Armor,nightmare,Warlock,1810,,2,Vault,false,false,6,20,,28,2,2,12,15,2,61,28,2,2,12,15,2,61,,,,,,,,,,,,,
Ballidorse Wrathweavers,3831935023,"""6917529889315427883""",,Exotic,Gauntlets,lostsectors,Warlock,1810,,10,Vault,false,false,6,20,,4,16,19,18,4,15,76,2,14,17,16,2,13,64,,#stasis #casual #pve,Hearts of Ice*,,,,,,,,,,
Winter's Guile,3844826443,"""6917529889402416757""",infuse,Exotic,Gauntlets,,Warlock,1810,,1,Vault,false,false,1,1,,15,14,4,12,2,20,67,15,14,4,12,2,20,67,,,Warlord's Sigil*,,,,,,,,,,
Shards of Galanor,691578979,"""6917529889654305199""",,Exotic,Gauntlets,,Hunter,1810,,9,Vault,false,false,2,4,,15,3,15,19,10,2,64,15,3,15,19,10,2,64,"Shards of Galanor - , Solar","#solar, #casual #pve, high total",Sharp Edges*,Impact Induction*,Heavy Handed*,Heavy Handed*,Valkyrie Zero*,Blued Steel*,,,,,
Gyrfalcon's Hauberk,461841403,"""6917529889678713674""",,Exotic,Chest Armor,lostsectors,Hunter,1810,,10,Hunter(1824),true,false,5,18,,4,22,17,14,4,21,82,2,20,10,12,2,19,65,"Gyrfalcon's Hauberk - , Void",#void #endgame/#casual #pve,"See Me, Feel Me*",Minor Recovery Mod*,Solar Resistance*,Concussive Dampener*,Melee Damage Resistance*,Amethyst Veil*,,,,,
Omnioculus,1935198785,"""6917529890074146369""",,Exotic,Chest Armor,lostsectors,Hunter,1809,,10,Hunter(1824),false,false,4,13,,13,20,4,20,4,13,74,11,18,2,18,2,11,62, - Omnioculus - ,#void #endgame #pve,Beyond The Veil*,Valkyrie Zero*,,,,,,,,,
Sealed Ahamkara Grasps,1688602431,"""6917529893031258702""",archive,Exotic,Gauntlets,,Hunter,1809,,1,Vault,true,false,1,3,,3,18,12,20,2,9,64,3,18,12,20,2,9,64,,,Nightmare Fuel*,,,,,,,,,,
Speedloader Slacks,2390471904,"""6917529894147046670""",,Exotic,Leg Armor,lostsectors,Hunter,1810,,5,Vault,true,false,6,20,,2,18,12,13,17,2,64,2,18,12,13,17,2,64,,high total,Tight Fit*,Erebos Glance*,,,,,,,,,
Legacy's Oath Gauntlets,1887490701,"""6917529894957542696""",archive,Legendary,Gauntlets,deepstonecrypt,Titan,1800,,9,Vault,true,false,4,12,,2,22,6,21,9,2,62,2,22,6,21,9,2,62,,"#raid, high resilience + high discipline",Erebos Glance*,,,,,,,,,,
Iron Companion Vestments,1011882337,"""6917529894985154804""",infuse,Legendary,Chest Armor,ironbanner,Warlock,1810,,1,Vault,false,false,5,19,,2,14,16,9,17,6,64,2,14,16,9,17,6,64,,,Iron Lord's Pride*,,,,,,,,,,
Mouth of Ur,1537426592,"""6917529895082221038""",,Legendary,Helmet,kf,Warlock,1800,,10,Vault,true,false,5,18,,4,21,14,38,4,8,89,2,19,12,26,2,6,67,,high total,Discipline Mod*,Harmonic Siphon*,Special Ammo Finder*,Heavy Ammo Finder*,Erebos Glance*,Hood of the Exile*,,,,,
Renewal Grasps,2169905051,"""6917529896196534031""",,Exotic,Gauntlets,lostsectors,Hunter,1810,,10,Hunter(1824),true,false,5,16,,12,13,19,21,8,10,83,10,11,12,19,6,8,66,"Renewal Grasps - , Stasis",#stasis #endgame #pve,Depths of Duskfield*,Minor Recovery Mod*,Heavy Handed*,Impact Induction*,Grenade Kickstart*,Metro Shift*,,,,,
Second Chance,1443166262,"""6917529899022058124""",,Exotic,Gauntlets,lostsectors,Titan,1805,,10,Vault,true,false,5,17,,4,19,15,14,16,18,86,2,17,13,12,14,6,64,,"#void #endgame #pve, this might be useful with the S21 buff, allowing void to stun #barrier, but it's niche",Myrmidon's Reach*,Strength Mod*,Erebos Glance*,,,,,,,,
Mask of Detestation,4123705451,"""6917529899027160841""",infuse,Legendary,Helmet,nightmare,Warlock,1810,,1,Vault,false,false,6,20,,14,2,15,9,13,9,62,14,2,15,9,13,9,62,,,,,,,,,,,,,
Stormdancer's Brace,1996008488,"""6917529899079373455""",,Exotic,Chest Armor,campaign,Warlock,1810,,1,Vault,false,false,3,8,,8,7,16,2,15,15,63,8,7,16,2,15,15,63,,#arc,Ascending Amplitude*,Metro Shift*,Induction Ceremony*,,,,,,,,
Mantle of Battle Harmony,3301944824,"""6917529899089387635""",,Exotic,Chest Armor,lostsectors,Warlock,1810,,10,Vault,false,false,4,13,,4,13,22,20,8,8,75,2,11,20,18,6,6,63,,high total,Absorption Cells*,Testudo*,Rosined Drone*,,,,,,,,
Chromatic Fire,4057299718,"""6917529899093732794""",,Exotic,Chest Armor,,Warlock,1810,,10,Vault,true,false,2,4,,8,16,20,4,16,18,82,6,14,13,2,14,16,65, - Chromatic Fire - ,#casual #pve,Crystalline Transistor*,Minor Recovery Mod*,Solar Resistance*,Solar Resistance*,Concussive Dampener*,Sinking Feeling*,Conflux Control*,,,,
Osmiomancy Gloves,3259193988,"""6917529899142215872""",infuse,Exotic,Gauntlets,lostsectors,Warlock,1810,,2,Vault,false,false,5,16,,12,7,14,8,17,6,64,12,7,14,8,17,6,64,,,Fervid Coldsnap*,,,,,,,,,,
TM-Moss Custom Pants,3870375786,"""6917529899632749728""",infuse,Legendary,Leg Armor,dungeon,Warlock,1810,,1,Vault,false,false,5,19,,2,9,20,6,20,7,64,2,9,20,6,20,7,64,,high recovery + high intellect,Artifice Armor*,Empty Mod Socket*,,,,,,,,,
TM-Earp Custom Vest,4288623897,"""6917529899638442420""",,Legendary,Chest Armor,dungeon,Hunter,1800,,10,Vault,true,false,5,19,,29,7,14,18,14,4,86,17,2,12,16,12,2,61,Lucky Pants - ,#pvp,Artifice Armor*,Mobility Mod*,Solar Resistance*,Void Resistance*,Concussive Dampener*,Resilience-Forged*,Skele-Ghaul*,,,,
