Name,Hash,Id,Tag,Tier,Type,Source,Category,Element,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,Recoil,AA,Impact,Range,Zoom,Blast Radius,Velocity,Stability,ROF,Reload,Mag,Handling,Charge Time,Draw Time,Accuracy,Charge Rate,Guard Resistance,Guard Efficiency,Guard Endurance,Swing Speed,Shield Duration,Airborne Effectiveness,Crafted,Crafted Level,Kill Tracker,Foundry,Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14,Perks 15
Prolonged Engagement,2349907931,"""6917529843862518621""",,Legendary,Submachine Gun,strikes,KineticSlot,Stasis,1600,,Reload Speed,1,Vault,false,false,5,19,,85,55,15,30,14,0,0,66,900,30,36,68,0,0,0,0,0,0,0,0,0,21,false,0,0,veist,,"#casual #pve, wouldn't normally keep, but this has great origin traits and it's stasis",Lightweight Frame*,Corkscrew Rifling,Polygonal Rifling*,Armor-Piercing Rounds,Ricochet Rounds*,Feeding Frenzy*,Surrounded*,Vanguard's Vindication*,Veist Stinger,Kill Tracker,Tier 1: Reload Speed*,Iron Vendetta*,,,,
Zephyr,396910433,"""6917529847544897268""",,Legendary,Sword,events,Power,Stasis,1810,,Impact,10,Hunter(1828),true,false,5,19,The Dawning,0,0,65,0,0,0,0,0,0,0,62,0,0,0,0,20,80,0,0,40,0,0,false,0,55,,,"#casual #pve, #stasis",Adaptive Frame*,Jagged Edge,Tempered Edge*,Burst Guard*,Heavy Guard,Relentless Strikes*,Unrelenting,Cold Steel*,Dawning Surprise*,Kill Tracker,Major Spec*,Masterworked: Impact*,Irradiant Charoite*,,,
Liminal Vigil,3138208275,"""6917529851251041907""",,Legendary,Sidearm,dungeon,KineticSlot,Stasis,1600,,Stability,5,Vault,true,false,5,19,,100,85,56,63,12,0,0,44,325,20,27,45,0,0,0,0,0,0,0,0,0,22,false,0,23,tex-mechanica,,#pvp,Aggressive Burst*,Arrowhead Brake*,Polygonal Rifling,Armor-Piercing Rounds*,Flared Magwell,Threat Detector*,Kill Clip*,Tex Balanced Stock*,Crucible Tracker,Quick Access Sling*,Tier 5: Stability*,Iron Vendetta*,,,,
Blasphemer,2782847179,"""6917529852070791117""",,Legendary,Shotgun,moon,KineticSlot,Kinetic,1600,,Range,10,Vault,false,false,4,13,,60,61,70,88,12,0,0,40,65,43,6,43,0,0,0,0,0,0,0,0,0,2,false,0,0,,,#pvp,Pinpoint Slug Frame*,Hammer-Forged Rifling*,Accurized Rounds*,High-Caliber Rounds,Quickdraw*,Opening Shot*,Kill Tracker,Masterworked: Range*,,,,,,,,
Palmyra-B,3489657138,"""6917529855618652184""",archive,Legendary,Rocket Launcher,legendaryengram,Power,Stasis,1800,,Velocity,10,Vault,true,false,5,16,,65,62,0,0,20,32,69,62,15,24,1,60,0,0,0,0,0,0,0,0,0,5,true,46,813,hakke,,"#endgame #pve, #dps",Häkke Precision Frame*,Quick Launch*,Impact Casing*,Auto-Loading Holster*,Chill Clip*,Hakke Breach Armaments*,Kill Tracker,Nightfall Memento*,Boss Spec*,Royal Treatment*,,,,,,
Veles-X,2276328320,"""6917529855714673461""",,Legendary,Pulse Rifle,crucible,Energy,Void,1800,,Handling,10,Vault,true,false,5,19,,74,41,35,73,18,0,0,72,450,53,38,28,0,0,0,0,0,0,0,0,0,19,false,0,452,hakke,,"#casual #pve, #void",Aggressive Burst*,Chambered Compensator*,Flared Magwell*,Repulsor Brace*,Tunnel Vision,Golden Tricorn,Kill Clip*,Kill Tracker,Hakke Breach Armaments,Vanguard's Vindication*,One Quiet Moment,Gun and Run,Major Spec*,Masterworked: Handling*,Sinking Feeling*,
The Other Half,3257091167,"""6917529855733620013""",favorite,Legendary,Sword,30th,Power,Void,1810,,Impact,10,Warlock(1829),true,false,4,15,,0,0,66,0,0,0,0,0,0,0,61,0,0,0,0,12,72,0,60,42,0,0,true,128,2262,,"Secant Filaments - , Void","#casual #endgame #pve, #void",Adaptive Frame*,Honed Edge*,Heavy Guard*,Eager Edge*,Repulsor Brace*,Hot Swap*,Kill Tracker,Nightfall Memento*,Major Spec*,Bergusian Night*,,,,,,
Taipan-4fr,1911060537,"""6917529856346127079""",,Legendary,Linear Fusion Rifle,legendaryengram,Power,Void,1810,,Reload Speed,10,Vault,true,false,5,18,,69,64,41,50,25,0,0,55,0,39,6,38,533,0,0,0,0,0,0,0,0,9,true,25,317,veist,,"#endgame #pve, #group",Precision Frame*,Polygonal Rifling*,Enhanced Battery*,Triple Tap*,Firing Line*,Veist Stinger*,Kill Tracker,Nightfall Memento*,Boss Spec*,Atmospheric Glow*,,,,,,
Revision Zero,1473821207,"""6917529860189910294""",favorite,Exotic,Pulse Rifle,rasputin,KineticSlot,Kinetic,1808,,"Range, Stability, Handling, Reload Speed, Aim Assistance, Recoil Direction, Magazine, Airborne Effectiveness",10,Titan(1828),true,false,5,19,,100,50,35,76,18,0,0,90,450,43,40,40,0,0,0,0,0,0,0,0,0,25,true,63,1616,hakke,,"#endgame #pve, #barrier, I think I should switch to fluted barrel since I've hit max recoil direction",Hunter's Trace IV*,Arrowhead Brake*,Ricochet Rounds*,Vorpal Weapon*,Fitted Stock*,Häkke Light Burst Fire*,Häkke Heavy Burst Fire,Kill Tracker,Frenzy Refit*,Version: Prime*,,,,,,
Aurvandil FR6,963710795,"""6917529864169528330""",,Legendary,Fusion Rifle,legendaryengram,KineticSlot,Stasis,1810,,Handling,10,Hunter(1828),true,false,5,19,,67,63,95,57,15,0,0,24,0,0,7,28,960,0,0,0,0,0,0,0,0,3,false,0,259,omolon,"Point Contact Cannon Brace - , Solar, Arc, Raid, Dungeon, Nightfall","#endgame / #casual #pve, #stasis, #overload #unstoppable",High-Impact Frame*,Full Bore,Hammer-Forged Rifling*,Ionized Battery*,Particle Repeater,Reconstruction*,Chill Clip*,Omolon Fluid Dynamics*,Kill Tracker,Major Spec*,Masterworked: Handling*,Sinking Feeling*,,,,
Pardon Our Dust,3849810018,"""6917529865965531516""",archive,Legendary,Grenade Launcher,30th,KineticSlot,Kinetic,1810,,Velocity,10,Vault,true,false,4,15,,77,75,0,0,13,0,93,30,90,71,1,85,0,0,0,0,0,0,0,0,0,2,true,21,724,,,#casual / #endgame #pve,Lightweight Frame*,Quick Launch*,Disorienting Grenades*,Auto-Loading Holster*,Demolitionist*,Hot Swap*,Kill Tracker,Nightfall Memento*,Major Spec*,Seraphim Cloak*,,,,,,
Leviathan's Breath,2591746970,"""6917529866469580275""",,Exotic,Combat Bow,,Power,Void,1807,,Inventory Size,10,Hunter(1828),true,false,3,8,,75,66,60,0,20,0,0,5,0,0,0,0,0,1328,84,0,0,0,0,0,0,17,false,0,1264,,A Current GM Weapon Set - ,"#endgame #pve, #dps, #unstoppable",Big-Game Hunter*,Chain Bowstring*,Fiberglass Arrow Shaft*,Leviathan's Sigh*,Kill Tracker,Bad Dog*,Leviathan's Breath Catalyst*,,,,,,,,,
Fortissimo-11,2821430069,"""6917529867083072158""",,Legendary,Shotgun,strikes,KineticSlot,Kinetic,1600,,Stability,3,Vault,true,false,5,16,,55,57,70,68,12,0,0,56,65,50,6,56,0,0,0,0,0,0,0,0,0,1,false,0,0,suros,,"#casual #pve, #dps",Pinpoint Slug Frame*,Corkscrew Rifling,Smallbore*,Appended Mag*,Light Mag,Demolitionist,Fourth Time's the Charm*,Focused Fury*,Vorpal Weapon,Vanguard's Vindication*,Suros Synergy,Kill Tracker,Boss Spec*,Tier 3: Stability*,Nectar Dynamo*,
Verglas Curve,3659414143,"""6917529868969582149""",,Exotic,Combat Bow,seasonpass,KineticSlot,Stasis,1810,,,10,Vault,true,false,6,20,,60,83,68,0,18,0,0,63,0,60,0,72,0,580,53,0,0,0,0,0,0,20,false,0,854,,,#stasis #casual #pve,Hail Barrage*,Natural String*,Straight Fletching*,Hail Storm*,Kill Tracker,Heritance of the Thaw*,Verglas Curve Catalyst*,,,,,,,,,
Unwavering Duty,906840740,"""6917529869703146740""",,Legendary,Machine Gun,trials,Power,Solar,1810,,Handling,1,Vault,true,false,6,20,,76,72,41,78,16,0,0,60,450,68,55,46,0,0,0,0,0,0,0,0,0,10,false,0,120,suros,,#casual #pve,Adaptive Frame*,Corkscrew Rifling,Full Bore*,Alloy Magazine,Ricochet Rounds*,Field Prep*,Firing Line*,Alacrity*,One Quiet Moment,Suros Synergy,Kill Tracker,Major Spec*,Tier 1: Handling*,Oxidized Lead*,,
Quicksilver Storm,4293613902,"""6917529870461289452""",,Exotic,Auto Rifle,deluxe,KineticSlot,Strand,1810,,,10,Hunter(1828),true,false,5,18,,88,83,18,50,16,0,0,100,720,54,51,53,0,0,0,0,0,0,0,0,0,26,false,0,7579,,"Wormhusk - ,  - Frostees - , Sixth Coyote - , A Current GM Weapon Set - , Gambit, Strand","#strand, #endgame #pve",Rocket Tracers*,Corkscrew Rifling*,High-Caliber Rounds*,Grenade Chaser*,Hand-Laid Stock*,Kill Tracker,Icthyic Flight*,Quicksilver Storm Catalyst*,,,,,,,,
Judgment of Kelgorath,2978226043,"""6917529870758021814""",,Legendary,Glaive,seasonpass,Energy,Solar,1801,,Reload Speed,10,Vault,true,false,5,19,,0,70,95,63,0,0,0,0,45,50,4,30,0,0,0,0,0,0,0,0,37,13,true,41,2838,hakke,,#endgame/#casual #pve,Aggressive Glaive*,Low-Impedance Windings*,Appended Mag*,Demolitionist*,Close to Melee*,Ambush*,Hakke Breach Armaments,Kill Tracker,Nightfall Memento*,Major Spec*,Carminica*,,,,,
Marsilion-C,867154247,"""6917529872087515616""",infuse,Legendary,Grenade Launcher,legendaryengram,Power,Solar,1810,,Velocity,6,Vault,false,false,6,20,,78,30,0,0,13,25,78,10,150,22,4,21,0,0,0,0,0,0,0,0,0,11,false,0,11,hakke,,,Rapid-Fire Frame*,Volatile Launch,Hard Launch*,Proximity Grenades,High-Explosive Ordnance*,Field Prep*,Explosive Light*,Hakke Breach Armaments*,Kill Tracker,Major Spec*,Tier 6: Velocity*,Iron Vendetta*,,,,
Lingering Dread,2026087437,"""6917529876776332414""",,Legendary,Grenade Launcher,duality,KineticSlot,Stasis,1800,,Blast Radius,10,Vault,true,false,5,17,,93,75,0,0,13,100,73,44,90,70,1,80,0,0,0,0,0,0,0,0,0,3,false,0,0,,,"#endgame/#casual #pve, #stasis",Lightweight Frame*,Volatile Launch,Countermass*,Proximity Grenades,Spike Grenades*,Auto-Loading Holster*,Chill Clip*,Bitterspite*,Kill Tracker,Major Spec*,Masterworked: Blast Radius*,Sinking Feeling*,,,,
Wish-Ender,814876684,"""6917529880762934484""",,Exotic,Combat Bow,dungeon,KineticSlot,Kinetic,1800,,,,Vault,false,false,2,4,,60,51,92,0,18,0,0,85,0,30,0,40,0,820,85,0,0,0,0,0,0,19,false,0,37,,A Current GM Weapon Set - ,"#endgame #pve, #barrier",Queen's Wrath*,High Tension String*,Anti-Taken Fletching*,Broadhead*,Kill Tracker,Author of Devastation*,,,,,,,,,,
Vexcalibur,3118061005,"""6917529880796131433""",,Exotic,Glaive,avalon,Energy,Void,1793,,"Range, Reload Speed",10,Vault,true,false,6,20,,0,74,80,90,0,0,0,0,80,62,5,97,0,0,0,0,0,0,0,0,25,10,true,5,458,,,"#void, #endgame #pve",M1R Distribution Matrix IV*,Auxiliary Reserves*,Extended Mag*,Perpetual Loophole*,Short-Action Stock*,Kill Tracker,Immovable Refit*,Nexus Sunrise*,Expert Authorization Override*,,,,,,,
Two-Tailed Fox,2694576561,"""6917529884176477752""",,Exotic,Rocket Launcher,,Power,Void,1810,,,10,Vault,true,false,2,4,,61,67,0,0,20,40,50,70,40,39,1,52,0,0,0,0,0,0,0,0,0,12,false,0,356,daito,,"#endgame #pve, #dps",Twintails*,Confined Launch*,High-Velocity Rounds*,Play with Your Prey*,Composite Stock*,Kill Tracker,Third Tail*,Chasing Kitsune*,,,,,,,,
The Immortal,4039572196,"""6917529884246013220""",,Legendary,Submachine Gun,trials,KineticSlot,Strand,1810,,Stability,10,Hunter(1828),true,false,6,20,,96,39,22,55,14,0,0,35,720,30,28,58,0,0,0,0,0,0,0,0,0,25,false,0,100,,"Assassin's Cowl - , Dungeon",#casual #pve,Aggressive Frame*,Corkscrew Rifling,Hammer-Forged Rifling*,High-Caliber Rounds*,Ricochet Rounds,Threat Detector*,Hatchling*,Alacrity,One Quiet Moment,Field-Tested*,Kill Tracker,Minor Spec*,Masterworked: Stability*,Calus's Treasured*,,
The Immortal,4039572196,"""6917529884252640136""",,Legendary,Submachine Gun,trials,KineticSlot,Strand,1800,,Range,1,Vault,false,false,6,20,,96,39,22,53,14,0,0,32,720,30,28,58,0,0,0,0,0,0,0,0,0,40,false,0,0,,,#pvp,Aggressive Frame*,Arrowhead Brake,Smallbore*,Alloy Magazine,High-Caliber Rounds*,Encore*,Kill Clip*,Alacrity*,One Quiet Moment,Field-Tested,Kill Tracker,Icarus Grip*,Tier 1: Range*,Sinking Feeling*,,
Conditional Finality,3371017761,"""6917529888811726743""",,Exotic,Shotgun,nightmare,KineticSlot,Stasis,1810,,,,Warlock(1829),true,true,6,20,,70,56,80,30,12,0,0,10,55,66,2,95,0,0,0,0,0,0,0,0,0,4,false,0,2292,,"Stag PvE - , Osmiomancy - , Verity's Brow - , A Current GM Weapon Set - ,  - Dawn Chorus - , Solar, Stasis, Dungeon","#casual/#endgame #pve, #unstoppable, #stasis/#solar, #pvp",Split Decision*,Shortened Barrel*,Alloy Magazine*,Paracausal Pellets*,Textured Grip*,Kill Tracker,,,,,,,,,,
Piece of Mind,2097055732,"""6917529889620702790""",archive,Legendary,Pulse Rifle,psiops,KineticSlot,Kinetic,1810,,Range,10,Vault,true,false,5,16,,88,82,23,41,18,0,0,48,540,34,41,39,0,0,0,0,0,0,0,0,0,17,true,44,1681,,,#endgame/#casual #pve,Rapid-Fire Frame*,Arrowhead Brake*,Appended Mag*,Overflow*,Focused Fury*,Land Tank*,Kill Tracker,Nightfall Memento*,Major Spec*,Carminica*,,,,,,
Submission,3886416794,"""6917529889980406828""",archive,Legendary,Submachine Gun,votd,KineticSlot,Kinetic,1800,,,,Vault,true,false,5,16,,100,58,15,39,15,0,0,45,900,29,37,60,0,0,0,0,0,0,0,0,0,27,true,20,473,,Void,#endgame / #casual #pve,Lightweight Frame*,Extended Barrel*,Alloy Magazine*,Overflow*,Frenzy*,Souldrinker*,Kill Tracker,Nightfall Memento*,Minor Spec*,Regal Daring*,,,,,,
Hung Jury SR4 (Adept),2883684343,"""6917529889991895520""",,Legendary,Scout Rifle,nightfall,KineticSlot,Kinetic,1810,,Stability,10,Titan(1828),true,false,6,20,,100,67,62,47,22,0,0,80,180,49,16,63,0,0,0,0,0,0,0,0,0,29,false,0,256,omolon,Dungeon,"#endgame #pve, #barrier/#overload for damage increase and reducing required shot count",Precision Frame*,Arrowhead Brake*,Full Bore,Steady Rounds*,Alloy Magazine,Rapid Hit*,Shoot to Loot,Kinetic Tremors*,Stunning Recovery*,Vanguard's Vindication,Omolon Fluid Dynamics,Kill Tracker,Adept Big Ones Spec*,Masterworked: Stability*,Dreamtide Daybreak*,
Ecliptic Distaff,3001205424,"""6917529890126047169""",,Legendary,Glaive,banshee,Energy,Void,1810,,"Shield Duration, Charge Time",10,Vault,true,false,6,20,,0,73,80,68,0,0,0,0,55,54,4,49,0,0,0,0,0,0,0,0,47,12,false,0,161,,,#void #casual #pve,Adaptive Glaive*,Ballistic Tuning*,Alloy Magazine*,Replenishing Aegis*,Immovable Object,Close to Melee,Destabilizing Rounds*,Kill Tracker,Vanguard's Vindication*,One Quiet Moment,Gun and Run,Major Spec*,Masterworked: Shield Duration*,Sinking Feeling*,,
Mykel's Reverence,231031173,"""6917529891875502248""",,Legendary,Sidearm,nightmare,KineticSlot,Strand,1810,,Range,1,Vault,false,false,6,20,,96,61,35,46,12,0,0,74,450,47,18,53,0,0,0,0,0,0,0,0,0,25,false,0,13,,,#casual #pve,Rapid-Fire Frame*,Full Bore,Smallbore*,Alloy Magazine,Armor-Piercing Rounds*,Elemental Capacitor*,Hatchling*,Harmonic Resonance*,Kill Tracker,Tier 1: Range*,,,,,,
Winterbite,3118061004,"""6917529891881003053""",,Exotic,Glaive,neomuna,Power,Stasis,1810,,,,Vault,true,false,6,20,,0,81,95,85,0,0,0,0,45,5,3,0,0,0,0,0,0,0,0,0,39,10,false,0,0,,,#stasis #endgame #pve #dps,Big Frigid Glaive*,Supercooled Accelerator*,Alloy Magazine*,Weighted Edge*,Tilting at Windmills*,Kill Tracker,Hibernal Thorns*,,,,,,,,,
Koraxis's Distress (Adept),495442100,"""6917529891933842061""",,Legendary,Grenade Launcher,nightmare,Power,Strand,1810,,Handling,5,Titan(1828),true,false,6,20,,75,36,0,0,13,30,73,27,150,28,4,45,0,0,0,0,0,0,0,0,0,11,false,0,211,,Sixth Coyote - ,"#casual #pve, #craft with spike",Rapid-Fire Frame*,Hard Launch,Quick Launch*,High-Explosive Ordnance*,High-Velocity Rounds,Reconstruction*,Paracausal Affinity*,Harmonic Resonance*,Kill Tracker,Adept Big Ones Spec*,Tier 5: Handling*,Velvet Intention*,,,,
Fixed Odds,2194955522,"""6917529892672533351""",archive,Legendary,Machine Gun,duality,Power,Solar,1800,,,,Vault,true,false,5,17,,66,33,70,63,16,0,0,38,360,31,53,30,0,0,0,0,0,0,0,0,0,16,true,28,273,,,"#solar, #casual #pve, craft with field prep",High-Impact Frame*,Polygonal Rifling*,Appended Mag*,No Distractions*,Incandescent*,To Excess*,Kill Tracker,Nightfall Memento*,Major Spec*,Crucible Redjack*,,,,,,
Commemoration,4230965989,"""6917529893105102066""",favorite,Legendary,Machine Gun,deepstonecrypt,Power,Void,1810,,Range,10,Warlock(1829),true,false,4,12,,100,64,41,68,16,0,0,57,450,57,73,69,0,0,0,0,0,0,0,0,0,18,true,107,4427,," - Eye of Another World - , Xenomorph - , A Current GM Weapon Set - , Raid",#endgame/#casual #pve. This thing is a monster. 144 in the mag and a near constant 30% damage buff is incredible.,Adaptive Frame*,Arrowhead Brake*,Appended Mag*,Reconstruction*,Killing Tally*,Bray Inheritance*,Kill Tracker,Gambit Memento*,Major Spec*,Calus's Treasured*,,,,,,
Lubrae's Ruin,2534546147,"""6917529895006140674""",,Legendary,Glaive,votd,Energy,Solar,1793,,Range,10,Vault,true,false,5,16,,0,72,80,60,0,0,0,0,55,50,4,45,0,0,0,0,0,0,0,0,55,11,true,13,746,,,"#casual #pve, S19 glaive is significantly better, but this has a faster rpm so maybe having both would be good",Adaptive Glaive*,Auxiliary Reserves*,Light Mag*,Immovable Object*,Unstoppable Force*,Souldrinker*,Kill Tracker,Nightfall Memento*,Major Spec*,Erebos Glance*,,,,,,
Taraxippos,1389546626,"""6917529897296422698""",,Legendary,Scout Rifle,events,KineticSlot,Strand,1810,,Range,10,Vault,true,false,6,20,Guardian Games,64,75,60,50,19,0,0,47,200,69,16,59,0,0,0,0,0,0,0,0,0,13,false,0,162,omolon,,"#endgame #pve, need to test the damage of the double body shot perks, but it might be a constant 20% damage buff",Lightweight Frame*,Extended Barrel*,Fluted Barrel,Tactical Mag*,Extended Mag,Moving Target,Gutshot Straight*,Encore,Explosive Payload*,Classy Contender*,Omolon Fluid Dynamics,Kill Tracker,Major Spec*,Masterworked: Range*,Dreamtide Daybreak*,
Buzzard (Adept),927835311,"""6917529899132690574""",,Legendary,Sidearm,nightfall,KineticSlot,Kinetic,1810,,Stability,2,Vault,true,false,6,20,,100,89,49,46,12,0,0,74,300,45,15,41,0,0,0,0,0,0,0,0,0,12,false,0,8,,,"#casual #pve, idk maybe kinetic tremors on a sidearm will be good",Adaptive Frame*,Extended Barrel*,Hammer-Forged Rifling,Appended Mag,Flared Magwell*,Compulsive Reloader,Perpetual Motion*,Kinetic Tremors*,Stunning Recovery*,Vanguard's Vindication,Kill Tracker,Minor Spec*,Tier 2: Stability*,Skele-Ghaul*,,
Hierarchy of Needs,4174431791,"""6917529899643959479""",,Exotic,Combat Bow,dungeon,Energy,Solar,1810,,,,Vault,true,false,5,19,,62,86,92,0,20,0,0,72,0,30,0,38,0,756,85,0,0,0,0,0,0,21,false,0,160,,,#casual #pve,Guidance Ring*,Elastic String*,Fiberglass Arrow Shaft*,Apollonic Tangent*,Kill Tracker,Empty Catalyst Socket*,,,,,,,,,,
Exalted Truth,548809020,"""6917529900884910611""",archive,Legendary,Hand Cannon,trials,Energy,Void,1806,,Handling,1,Vault,true,false,6,20,,100,72,84,50,14,0,0,68,140,47,13,51,0,0,0,0,0,0,0,0,0,22,false,0,30,suros,,THE WORST GUN I HAVE EVER USED,Adaptive Frame*,Chambered Compensator*,Smallbore,Appended Mag*,Tactical Mag,Slickdraw*,Gutshot Straight*,Alacrity*,One Quiet Moment,Suros Synergy,Kill Tracker,Tier 1: Handling*,,,,
Royal Executioner,1720503118,"""6917529901392908615""",,Legendary,Fusion Rifle,seasonpass,Energy,Solar,1810,,Range,10,Vault,true,false,6,20,,88,43,70,51,15,0,0,42,0,34,7,42,660,0,0,0,0,0,0,0,0,6,true,29,870,,"ACDC Fence - , A Current GM Weapon Set - ",#casual #pve,Adaptive Frame*,Arrowhead Brake*,Projection Fuse*,Envious Assassin*,Reservoir Burst*,Noble Deeds*,Kill Tracker,Gambit Memento*,Major Spec*,Sinking Feeling*,,,,,,
Centrifuse,1912669214,"""6917529902759763766""",,Exotic,Auto Rifle,seasonpass,Energy,Arc,1810,,,10,Titan(1828),true,false,6,21,,90,55,29,47,16,0,0,65,450,40,38,82,0,0,0,0,0,0,0,0,0,25,false,0,1325,,"Point Contact Cannon Brace - , Arc, Dungeon",#casual #pve,Overcharge Capacitor*,Corkscrew Rifling*,Appended Mag*,Regenerative Motion*,Hand-Laid Stock*,Kill Tracker,Fluorescent Depth*,Centrifuse Catalyst*,,,,,,,,
Chattering Bone,501329015,"""6917529903122574093""",,Legendary,Pulse Rifle,lastwish,KineticSlot,Kinetic,1800,,Reload Speed,4,Vault,true,false,6,21,,67,71,27,43,17,0,0,52,450,47,42,60,0,0,0,0,0,0,0,0,0,20,false,0,0,,,#pvp,Lightweight Frame*,Extended Barrel*,Fluted Barrel,Extended Mag*,Steady Rounds,Kill Clip*,Rampage*,Explosive Pact*,Kill Tracker,Tier 4: Reload Speed*,,,,,,
Cold Comfort,839786290,"""6917529904283653812""",,Legendary,Rocket Launcher,dungeon,Power,Stasis,1800,,Reload Speed,1,Warlock(1829),true,false,6,21,,73,39,0,0,20,0,84,28,25,43,1,23,0,0,0,0,0,0,0,0,0,10,false,0,24,,,"#endgame #pve #dps, #gms. This can hold 5 (????) in the mag but would be better with b&s",Aggressive Frame*,Confined Launch,Hard Launch*,High-Velocity Rounds,Impact Casing*,Envious Assassin*,Bipod*,Restoration Ritual*,Kill Tracker,Boss Spec*,Tier 1: Reload Speed*,Sinking Feeling*,,,,
Doom of Chelchis,1937552980,"""6917529904505319236""",,Legendary,Scout Rifle,kf,Energy,Void,1810,,Range,10,Titan(1828),true,true,5,18,,100,64,62,59,20,0,0,47,180,61,16,51,0,0,0,0,0,0,0,0,0,17,true,26,222,,"A Current GM Weapon Set - , Nightfall","#endgame #pve, #overload",Precision Frame*,Arrowhead Brake*,Flared Magwell*,Explosive Payload*,Frenzy*,Runneth Over*,Kill Tracker,Nightfall Memento*,Major Spec*,Crucible Horizon*,,,,,,
New Pacific Epitaph,1125217994,"""6917529907896838114""",,Legendary,Grenade Launcher,dungeon,KineticSlot,Stasis,1800,,Blast Radius,1,Vault,false,false,6,21,,70,76,0,0,13,100,78,26,72,81,1,66,0,0,0,0,0,0,0,0,0,4,false,0,0,,,"#casual #pve, first kinetic wave frame, but has an awful first column perk. ca is good with stasis shards",Wave Frame*,Volatile Launch*,Hard Launch,High-Velocity Rounds*,Implosion Rounds,Shot Swap*,Collective Action*,Restoration Ritual*,Kill Tracker,Tier 1: Blast Radius*,,,,,,
Cold Comfort,839786290,"""6917529914128561780""",infuse,Legendary,Rocket Launcher,dungeon,Power,Stasis,1810,,Handling,1,Vault,false,false,6,21,,100,39,0,0,20,20,79,38,25,72,1,34,0,0,0,0,0,0,0,0,0,10,false,0,0,,,,Aggressive Frame*,Countermass*,Smart Drift Control,High-Velocity Rounds*,Impact Casing,Tracking Module*,Explosive Light*,Restoration Ritual*,Kill Tracker,Tier 1: Handling*,,,,,,
Cold Comfort,839786290,"""6917529914133104691""",archive,Legendary,Rocket Launcher,dungeon,Power,Stasis,1810,,Velocity,10,Vault,true,false,6,21,,73,39,0,0,20,25,84,43,25,62,1,23,0,0,0,0,0,0,0,0,0,10,false,0,5,,"Foetracer, Stag PvE - , Osmiomancy - , Stasis, Dungeon","#casual #pve. Collective action has a huge uptime on #stasis, so a constant 20% damage buff would be good.",Aggressive Frame*,Countermass,Linear Compensator*,Implosion Rounds,Impact Casing*,Envious Assassin*,Collective Action*,Restoration Ritual*,Kill Tracker,Boss Spec*,Masterworked: Velocity*,,,,,
Wicked Implement,940371471,"""6917529918038216159""",,Exotic,Scout Rifle,seasonpass,KineticSlot,Stasis,1810,,,10,Hunter(1828),true,false,6,21,,94,65,62,62,20,0,0,63,180,41,16,44,0,0,0,0,0,0,0,0,0,18,false,0,1272,,"Renewal Grasps - , Foetracer, Stasis","#casual #pve, #stasis",Creeping Attrition*,Corkscrew Rifling*,Accurized Rounds*,Tithing Harvest*,Fitted Stock*,Kill Tracker,Agkistrodon-5SR*,Wicked Implement Catalyst*,,,,,,,,
No Survivors,3262192268,"""6917529919861880495""",,Legendary,Submachine Gun,dungeon,Energy,Solar,1810,,Stability,5,Vault,true,false,6,21,,94,38,22,59,14,0,0,32,720,26,27,57,0,0,0,0,0,0,0,0,0,29,false,0,0,,,#pvp,Aggressive Frame*,Full Bore,Hammer-Forged Rifling*,Armor-Piercing Rounds,Ricochet Rounds*,Rangefinder*,Target Lock*,Restoration Ritual*,Kill Tracker,Tier 5: Stability*,Erebos Glance*,,,,,
Trustee,1392919471,"""6917529921096942238""",,Legendary,Scout Rifle,deepstonecrypt,Energy,Solar,1800,,Range,10,Warlock(1829),true,false,4,12,,89,67,45,45,19,0,0,50,260,43,18,42,0,0,0,0,0,0,0,0,0,22,true,36,2705,,A Current GM Weapon Set - ,"#endgame #pve, #solar",Rapid-Fire Frame*,Arrowhead Brake*,Tactical Mag*,Reconstruction*,Incandescent*,Bray Inheritance*,Kill Tracker,Nightfall Memento*,Minor Spec*,Luminous Void*,,,,,,
IKELOS_SMG_v1.0.3,2149683300,"""6917529921119274712""",,Legendary,Submachine Gun,rasputin,Energy,Arc,1810,,Reload Speed,10,Warlock(1829),true,false,5,19,,90,37,22,56,14,0,0,41,720,34,28,64,0,0,0,0,0,0,0,0,0,13,true,72,4624,,Dungeon,"#endgame/#casual #pve, #arc. Joltshot almost acts as kill-clip for stunning #overload champions",Aggressive Frame*,Smallbore*,Seraph Rounds*,Feeding Frenzy*,Voltshot*,Rasputin's Arsenal*,Kill Tracker,Gambit Memento*,Minor Spec*,Sinking Feeling*,,,,,,
Last Rite,542573208,"""6917529924326672466""",,Legendary,Scout Rifle,crucible,KineticSlot,Kinetic,1810,,Handling,10,Vault,false,false,6,21,,78,51,100,70,18,0,0,27,120,51,14,53,0,0,0,0,0,0,0,0,0,13,false,0,0,,,#pvp,Aggressive Frame*,Full Bore*,Ricochet Rounds*,Keep Away*,Reconstruction,Opening Shot*,Focused Fury,Kill Tracker,Tex Balanced Stock*,Vanguard's Vindication,One Quiet Moment,Gun and Run,Freehand Grip*,Masterworked: Handling*,Refined Revels*,
